username,datetime,tweet_text,retweeted_text,likes,retweets,comments
Nathan Stevenson,2020-11-28T16:12:10.000Z,"When you are gaming all night, but finally fall asleep from exhaustion. Photo taken by my girlfriend @TrixyStarz #CatsOfTwitter #Cat #PS4 #PlayStation #gaming #CuteCat #cute #kitten",,3,1,0
Sydney Simone,2020-11-28T16:06:37.000Z,"I know the pandemic probably has a lot to do with it, but the scarcity of these PS5's is lowkey a good marketing strategy. The next time #PlayStation has a restock... sales through the ROOF!",,3,0,3
Python Coffee,2020-11-28T15:56:53.000Z,Qualche screen da Demon’s Souls remake per #PS5 #gaming #videogames #videogiochi #playstation,,2,1,0
Gaming Rəborn,2020-11-28T15:44:29.000Z,Picking up my playstation 5 #ps5 #PlayStation5 #PlayStation5GRATIS #PlayStation #NewEraBEgins #Finally,,2,1,1
Ricky Spanish,2020-11-28T15:40:50.000Z,"Heavy, Heavy, Heavy..... #Aerosmith #Memes #gaming #gamers #Xbox #PlayStation #PlayStation5 #PS4 #ps5 #Destiny2 . #Destiny #hunter #DestinyArt #Bungie",,1,1,0
Angelic Pickle,2020-11-28T15:40:00.000Z,Xbox Series X owners moan games look WORSE than on PS5 – and Microsoft is blaming a bug #xboxseries #sun #playstation,,0,0,0
(NOT) QuinntonTV,2020-11-28T15:16:57.000Z,Very much looking forward to #ScarletNexus very excited to find out more! #Xbox #XboxSeriesX #Playstation #PlayStation5 #JRPG #action,,2,0,0
Rudee569,2020-11-28T15:15:16.000Z,@sony @PlayStation : “we have completely sold out of everything” #scalpers: “you’re welcome” #xbox #PlayStation #XboxSeriesX #PlayStation5 #gaming #smh,,0,0,0
Oates,2020-11-28T15:14:37.000Z,New Vita working like a dream. Cloud saving between PS4/Vita/PS5 is simple and seamless. Thanks @CybertronGames ! #PS5 #PS4 #PSVita #PlayStation #playstationplus,,0,0,0
Chris Lemmon,2020-11-28T14:55:08.000Z,"And that's two #PS5 platinums already! #astrosplayroom is the perfect homage to #PlayStation history, and is such a charming platformer. Plus it really shows off what the #Dualsense can do! A must play for anyone with a PS5! Welldone Team Asobi, @AsobiNico & @PlayStation !",,1,1,0
geovanny Arroyave,2020-11-28T14:37:40.000Z,Finally playing the last of us part 2 on ps5... wow this game looks gorgeous #TheLastofUsPart2 #ps5 #PlayStation5 #PlayStation,,2,0,0
Micaah Salazar,2020-11-28T14:10:52.000Z,People. DO NOT buy a PS5 from a scalper! Don’t give them business for using bots to buy PS5 and pchsrge the price during a pandemic. It’s not right. Don’t give in. #PS5 #PlayStation #Sony,,3,1,0
PS5 Only ,2020-11-28T13:54:12.000Z,"#Art Berlin, Germany: Ratchet & Clank: Rift Apart Play Has No Limits PS5 Murals #PS5 #Deutschland #PlayStation #Berlin",,89,23,3
PlugMolly,2020-11-28T13:42:33.000Z,They’re going quick! Contact me now (786) 802-7149 #ps5 #psnrestock #playstation #nextgen #ps5resell #quicksale #targetps5 #gaming #ps5forsale #ps5preorder #ps5launch #gamer #gaming #playstationdirect HMU first and get first,,1,0,0
Daniel,2020-11-28T13:38:02.000Z,And of course I got that demon's souls on deck #PlayStation5 #PlayStation #DemonsSouls,,2,1,0
Tomáš Richter,2020-11-28T12:44:35.000Z,"@PlayStation @AskPlayStation @PlayStationEU I want to ask what the hell is this? After 9 days of playing I moved the PS5. I cleaned the table, but the dirt on the PS5 I cant clean. After unpacking the console was beautiful white #PlayStation5 #PS5 #PlayStation",,1,0,0
Unclequan_thegamer,2020-11-28T12:36:41.000Z,“The Pessimist Sees Difficulty In Every Opportunity. The Optimist Sees Opportunity In Every Difficulty.” – Winston Churchill #goodmorning #SaturdayVibes #AssassinsCreed #AssassinsCreedValhalla #ps5 #playstation5 #PlayStation #gaming #gamingcommunity @PlayStation @Ubisoft,,3,2,1
CMwalsh,2020-11-28T11:58:23.000Z,#PlayStation5 Extra #DualSense #DualSense Dock #PS5 Media Remote #PSPlusCollection #PS4 BC #MilesMoralesPS5 #AstrosPlayroom #SackBoy #ThePathless #BugSnax #AssassinsCreedValhalla Rest Of 2020 Gaming Sorted #PlayStation #PlayHasNoLimits,,2,1,0
PS5 Web - Deals / Giveaways / Stock Updates / News,2020-11-28T11:51:46.000Z,Are you buying PS5 games or accessories even though you do not have a PS5 yet? #PlayStation5 #PS5 #PlayStation #PS5deals #ps5restock #PS5Launch #ps5stock #PS5Updates #ps5amazon #BlackFriday2020 #BlackFridayDeals #BlackFriday #PS4 #Playstation4 #DualSense #CyberMonday,,0,1,0
AdieArcade,2020-11-28T11:06:38.000Z, This counts right? Ps5 plat number 2. Spiderman remastered. Loving the save transfer system . . . . #ps #playstation #xbox #gaming #gamer #games #xboxone #fortnite #game #videogames #gta #sony #memes #pc #xboxseriesx #k #pro #fifa...,,0,1,0
有名な,2020-11-28T10:57:30.000Z,Can We All Agree That If Toys R Us Was Still In Business Then We Would All Have A Better Chance Of Getting The PS5 Or Xbox Series X? #PS5 #PlayStation5 #Playstation #PS5Restock #Xbox #XboxSeriesX #XboxRestock,,8,3,1
KNOX,2020-11-28T10:54:44.000Z,It's So Small! #xbox #ps5 #nextgen #PokemonGoRaids #PlayStation #XboxSeriesS,,1,2,0
Keith Colclough  ,2020-11-28T10:48:00.000Z,Really enjoyed Astro's Playroom on PS5. Its a great homage to PlayStation History and an excellent launch title. Just got the platinum trophy #ps5 #ps5uk #ps5launch #playstation5 #PlayStation #gamer #gaymer #geek #gamers,,7,2,0
KingOfVA,2020-11-28T10:44:50.000Z,When You Get That #ps5 Skit Yooo I Just Died . The PlayStation 1 Tho #tiktok #funnymemes #funny #walmart #gamestop #playstation #playstation5,,3,2,0
Android Therapy,2020-11-28T10:24:54.000Z,"I think the #ps5 is awesome, yeah, but the controller is the true next-gen. #game #playstation5 #playstation #tech #gamers #gamersofinstagram #technews",,1,0,0
Yung_swedish,2020-11-28T10:11:51.000Z,@PlayStation is 70 decibel normal for a PS4 in game? This is outrageous! #playstation4 #PlayStation #Playstation4 #Loudplaystation #PS4 #PS5,,0,0,0
Eagle,2020-11-28T10:01:16.000Z,PELLINGTON STACK ASMR / / / / / / / / / @Obey_Salsa @MIIZT @Testyment @ObeyBams @x_Scp @xKitanas Tags: #coldwar #cod #codwarzone #BlackOpsColdWar #gamer #codtopplays #ps5 #playstation #warzoneclips #sniper #battleroyal #fortnite #gaming #warzone #callofdutywarzone #ASMR,,2,0,0
SuperKickPrty,2020-11-28T09:54:51.000Z,How many paid for scalper consoles? #xbox #ps5 #gamer #couldntwait #PlayStation #Microsoft,,1,1,1
oldboyinuk,2020-11-28T09:36:07.000Z,"The launch of the #PlayStation #PS5 has to be the most ridiculous, disappointing, annoying launch of any tech product ever. I think I'll get the lad a new Xbox instead. #ps5uk",,1,0,1
TheVxK,2020-11-28T09:04:03.000Z,"If my PS5 could quit crashing only with Cold War that would be great. I know the Series X has the same issue. So, Sony, Microsoft, and Activision, Ima need y'all to fix your shit. @ATVIAssist @AskPlayStation @XboxSupport #Fixit #PlayStation #PS5 #XboxSeriesX #ColdWar",,3,2,1
DA REAL MS_ASSTY,2020-11-28T08:16:26.000Z,Thank me later oh and instead of getting a #Ps5 #Xbox get some Microsoft (MSFT)#XboxSeriesXstock #ps5stock Sony Corporation (SNE) #PlayStation #PowerYourDreams #PlayStation5 #Sony #teslastock #ShopifyStock #CarvanaStock #ElectronicArtsStock #BuyNothingDay but Stocks,,3,1,0
Gamer's Central,2020-11-28T08:04:08.000Z,Well I'm late but got me the Spyro Trilogy. Can't wait to get platinum on it. #PlayStation #PS5 #Playstation4 #PS4 #playstationplus #SpyroReignitedTrilogy #gamer #gamergirl #gamers #videogames #BlackFriday #Playstore,,0,1,0
Crazenium,2020-11-28T07:31:57.000Z,Do you own a PS5 yet? #PS5 #PlayStation5 #PlayStation5restock #PlayStation #PlayStation5GRATIS #PlayStationTrophy #PS5Launch #ps5stock #ps5restock #PlayHasNoLimits #gaming #console #gaminglife #gamingchannel #gamingclips #GamersUnite #GamerGram #valortainment #BlackFridayAmazon,,3,5,3
I--FIRE--I ,2020-11-28T07:29:04.000Z,Good morning #battlefieldfamily #Fireunity and #friends I wish you all a great Saturday with good games on all platforms #PC #Xbox #Playstation #PS5 and much fun #BCITW #BFFY #GC #battlefieldfriends #Battlefieldcommunity #BURN #GamersCommunity #dicefriend ,,39,8,7
Eric Kanavathi,2020-11-28T07:23:29.000Z,"@TeamRedlineSim + @fanatec + @24HoursofSpa winners (@earlbamber, @VanthoorLaurens, @NickTandyR) = Perfect Winning Combination. Taken from @PlayStation @thegranturismo Tags: #GTSport #PlayStation #PS4 #Porsche #911RSR #IntGTC #Fanatec",,1,1,0
Sckipt,2020-11-28T07:12:35.000Z,If you are selling PS5 consoles for over 1K I hope your house burns down or you have a massive flood or earthquake and no one gets hurt #ps5stock #ps5restock #PlayStation5 #PlayStation,,16,0,0
Son of The Boss,2020-11-28T07:00:38.000Z,My POV the whole Weekend #PS5 #PlayHasNoLimits #PlayStation,,54,5,5
