name,score,title,place,date,verified purch,text,upvotes
Amazon Customer,4.0 out of 5 stars,Not Recommended For Youtubers and Hardcore Gamers!,the United States ,April 10 2018,Verified Purchase,"  While the system was working it was awesome, but the main issues I had on the system was every time the console updated, It had issues with coming back on. i am not sure if it was the software issue or my settings on my PS4, plus my console was getting really hot after about 5hrs of play, and I am a youtuber and gamer, so I play a lot throughout my work week and when I am off.So if you are like me as a gamer that requires continuous play of lets plays on LiveStream,I strongly recommend you pay the extra green and get the Pro Version.This model is fine for a casual gamer, but this machine tends to have many bugs and issues.I had to send mine in to playstation twice for them to get my console back on.Not very reliable for a hardcore gamer.",45 people found this helpful
Charmen,5.0 out of 5 stars,"So Many Uses, Super Fun!",the United States ,July 28 2017,Verified Purchase,"  I haven't stopped using this since I bought it! I have so much fun playing my games on here, streaming movies/videos and my personal favorite: listening to Spotify! It's amazing and has a nice, modern, sleek interface. If you're already familiar with Playstation, then it isn't as hard to use (so many button have so many uses), but if you aren't a faithful Playstation user, you may have a little difficulty remembering which button does what. Since I am a faithful PS user, I'm gonna go ahead and give it 5 stars because the buttons weren't an issue for me. 10/10 would recommend.",73 people found this helpful
Jubilant,5.0 out of 5 stars,now I can enjoy many outstanding playstation exclusive games such as the uncharted ...,the United States ,December 5 2017,Verified Purchase,"  got this on the blackfriday dealcame on time, works well, everything's in order. now I can enjoy many outstanding playstation exclusive games such as the uncharted series and horizon zero dawn",42 people found this helpful
Brittany,5.0 out of 5 stars,Love it!,the United States ,January 25 2018,Verified Purchase,"  It was pretty easy to set up. I bought it to share with my boyfriend and it's very easy to keep our different save files for our games separate. Both parties have access to the different games that have been downloaded even if only one bought the digital game. The only thing I would complain about is that we can't have two separate netflix log ins saved onto it. It has the one account preloaded all the time. The control are what you would expect and a little more. Sometimes, depending on the game, the controller will light up differently to show your health or in response to what a character is saying. The last console we had before this was a ps2 so, we're still pretty amazed by it, haha.",58 people found this helpful
Christopher,5.0 out of 5 stars,Get one will not regret,the United States ,July 14 2017,Verified Purchase,"  Five stars for the ps4,  Zero stars for the packaging the Ps4 came in. This is my second PlayStation, my first one was the original Ps1 still have it. But this ps4 is so awesome, there is a lot of free demos to download so you do not have to buy games unless there is that game you got to have. Alot of stuff to do with this console it is just not a game console.",371 people found this helpful
Dames,4.0 out of 5 stars,Awesome Console but controller keeps disconnecting,the United States ,August 8 2018,Verified Purchase,"  So after waiting a little while I finally got my PS4 console. It's an amazing device and I really love it but one concern is that for some strange reason my controller disconnects every 5 minutes while maneuvering through my games library or even while gaming. This is really annoying and costs me dearly as it disconnects while playing, forcing me to push the little button behind to reset it every time. I know its the controller because even when I go to settings and change the connection from Bluetooth to USB cable it does the same thing. Shame my return window is closed, I'll just have to buy another controller, could have used that money to pre-order Spiderman but such is life I guess. Other than my control glitch its a good buy and a good console.",11 people found this helpful
Robert Green,5.0 out of 5 stars,Nice size and plenty of hard drive space,the United States ,May 25 2017,Verified Purchase,"  Nice size and plenty of hard drive space, great deal for the price. I haden't purchased a new console since the Wii having been mostly PC at this point, but a few of the playstation exclusives sold me on getting on and I'm very happy with it.",120 people found this helpful
MamaOwl,5.0 out of 5 stars,"Wrong model received initially, but customer service was fantastic.",the United States ,January 31 2019,Verified Purchase,"  I was sent the wrong model; I received a 500GB instead of a 1TB like advertised. The PS4 works fine, came with everything. However, it was the wrong model. I contacted the seller and they were verylond and understanding on the mistake. I sent pictures for proof. I didn't want to return it because it was fine, worked, and I bought it to play a game on its release date the next day after it arrived. They were really sweet about listening to my concern about storage space and my disappointment on how I installed all my games and the storage was almost out (and it was literally 4 games) and that's why I bought a 1TB instead of a 500gb like I received - the storage space, as that was my only real concern. After speaking about how to resolve it, me mentioning I could get an external drive, I just didn't have the money at the moment because I spent all my funds on what I assumed would be a 1TB model and the new game I bought it for - they gave me a discount refund for 50$, so I could purchase an external hard drive for storage to make up for me not having a 1TB model. Customer service was great, I didn't have a problem other than being sent the wrong model for storage, which they helped me resolve with partial, small refund.  I was disappointed because of the storage issue, but with their help and understanding and customer support, I'm able to say I'm very content and happy with my purchase. :) If you ever get a wrong model or something is broken when you buy something, always contact your seller - theyight be able to help! Especially if it's not anything you did.",8 people found this helpful
Leon,1.0 out of 5 stars,Do not purchase if you have a Denon receiver!!!!,the United States ,April 16 2019,Verified Purchase,"  Within weeks of purchasing this item, I began having problems with the HDMI pass through with my Denon receiver. It worked well for a few days, then I began getting errors from the receiver. I tried different HDMI slots and got the same error messages. When I contacted Sony concerning this issue, they advised that this was not there problem. When I contacted Denon technical support, they indicated that this was a well known problem, specifically with PS4 consoles. Steer clear if you have any make of Denon receiver.",10 people found this helpful
TJ Werner,2.0 out of 5 stars,Connection Sucks!!!,the United States ,March 30 2018,Verified Purchase,  Honestly not impressed by this machine. Bought it to replace my 2 year old PS4 that was lost in a fire and my old PS4 was way faster than this one. My current roommate has had his original PS4 since they were first released and his is still quicker and doesn't have nearly the connection issues. I have to set up internet connection almost Everytime I turn it on and feel like I was really ripped off.  Save your money and just get a regular one.,11 people found this helpful
Manuel Sanchez Morales,1.0 out of 5 stars,One Star,the United States ,September 16 2018,Verified Purchase,  Nunca logró llegar,16 people found this helpful
Serum,4.0 out of 5 stars,"A little harder to navigate than the PS3, but still worth it",the United States ,November 28 2019,Verified Purchase,"  This was a gift I received. I've been a PlayStation 3 user since late 2012, in fact, it was my first Blu-Ray player. I tend to get consoles at the end of their lifetimes, when all the bugs are worked out and all the good games for them have already been released. The PlayStation 4 is no different. I got the Slim model, with a 1TB hard drive. Back in December of 2012, I bought the ultra-Slim, 500GB model of the PS3. Seven years FROM now, I imagine I'll be doing something similar with the PlayStation 5. I've been a PlayStation user since Nintendo released the Wii, which I simply had no interest in playing and bought a slim PlayStation 2 at the time.  So now I'm a PS4 user and I've got to say, it's not quite what I expected but it's alright.PROS: It has an excellent selection of games, I don't play many titles, but I have five games for it, so far and they're all bought through the PlayStation Store. I've pretty much given up on physical copies because I've run out of room for more cases on my shelves, which are already covered in DVDs, Blu-Rays and books. The one terabyte hard drive simplifies this, as it'll probably awhile until I run out of room and need an external hard drive for this puppy. But I like the games I have, which are ""Always Sometimes Monsters,"" ""Stardew Valley,""  ""Catherine: Full Body,"" ""Persona 5"" and ""Death Stranding."" I still have plenty of room left on my hard drive and I think buying physical copies is just a tradition some people don't want to break.CONS: Clunky user interface. I'm still confused by where all my games and apps are. On the surface it seems like it's going to be even simpler than using the PlayStation 3's user interface, but it's actually quite confusing to navigate. At least I think it is. I go to my ""TV & Video"" folder and instead of having just the apps I have downloaded (Amazon Prime and Netflix) it shows me like, six other app ""suggestions"" (advertisements, really) that they think I should download and pay for those services when I have absolutely zero interest in them. I've been told there are ways around this, but I'm confused as to how to go about fixing it as I'm not the tech-savvy person I was ten years ago, anymore. But I'm still figuring this beast out.So in conclusion, it's a good system with good games, a good Blu-Ray player and a good amount of hard drive space for the price but it has a very clunky user interface that leaves me often times feeling bewildered. Like I said, I got this for free, so I'm not complaining, I have a lot of learning to do with it. One other thing I want to add is that the controller battery life seems a little short-lived for some reason. I don't know if that's just something I'm imagining or what, but it definitely doesn't seem to last as long as the PlayStation 3's controller. But all in all, it's a pretty good system and I like what I've gotten on it a lot so far so at least I have that going for me. I guess I'll give this one a solid four out five stars.",2 people found this helpful
chad JJ,2.0 out of 5 stars,gotta be honest about this system it's a mix bag for me,the United States ,July 9 2019,Verified Purchase,"  what i do like about this system is that every game is ultra realistic and in hd but that's when the Praise stops from me because the negatives are alot like one being a small library of games and every games from other generations from ps1 ps2 & ps3 are getting ported into this console to be in hd for remastered which kills the potential that this system did had well for me because the only thing ppl keep asking for is a remasters from other PlayStation systems how do u expect this to evolve? to me this is the ps vita of home consoles that barely offers any initiative games  oh the only way to Play online is to buy Ps plus which starts from 10+ to 60+ dollars which is backwards since ""PS3 COST NOTHING"" to play online and doesn't hassle to buy anything in order neither. what makes ps4 even wost is that in the modern age of gaming we're in the loot box era so not only that u be spending 60+ if u want the Ps plus which are monthly but u also have to play games of chance if u are a fan of nba2k, fifa, star wars, all of the battle royale games: Overwatch, Apex Legends, Fortnite and etc. even wwe 2k games has loot boxes it's sad i really missed thq at least they never Put out cash grabs unlike 2k.so my point is this if u want to pay 500, 400, &300 for this system including fee to play games  and a monthly required Ps plus just to play online with friends then this console is for u if u want to just enjoy games without any fee to play games and that doesn't require Ps Plus and have fun like what gaming used to be and supposed to be without having any greedy gaming publishers being in your wallet then i recommend buying a ps3 it may not be graphical but at least u can have fun and do not get pressured on spending like in the current era of gaming. so i give this a three in a half stars its great but too many others things in this era ruins it's Potential and it's way too much greed going on these days including Sony in current gen.",2 people found this helpful
Jada B,1.0 out of 5 stars,Beyond dissapointed.,the United States ,July 9 2019,Verified Purchase,"  I am in my 30's and I have never written a review in my life, but am so upset with this purchase I felt compelled.When I received my package, it took one glance to see that it had been through the ringer.The shipping box was squashed and ripped open. The tape that should hold it all together was half way from falling off. The bubble wrap inside was completely deflated, each and every bubble had a hole rubbed into it.The PlayStation box itself was worn and faded on the entirety of its edges. Even the corners were flattened.In short, my $300 purchase looked like it was kicked all the way from the seller to my house.I am beyond dissapointed.",8 people found this helpful
T. Herbert,3.0 out of 5 stars,meh,the United States ,February 12 2019,Verified Purchase,"  If you like playing online and don't mind paying for a subscription to do it, you'll probably like this console. The Ps2 was the last great system. The only reason my PS3 wasn't a dust collector was because of Gran Turismo 5 and 6. With GT Sport being basically online only, my PS4 is pretty much a glorified web browser. Mediocre games with great graphics will never beat the PS2's great games with decent graphics.",5 people found this helpful
Scarlett,2.0 out of 5 stars,Arrived damaged,the United States ,July 3 2018,Verified Purchase,"  I ordered it used and in new condition and when the package arrived, PS4 glitched out and shut my whole T.V. down. At first, I thought it was the T.V.'s compatibility so I bought a new T.V. Still glitched so I tried getting a new HDMI and it still didn't work. Finally, I thought it was the ""God Of War"" disk and so I tried other games... I'm very upset.",8 people found this helpful
Derek & Margie,5.0 out of 5 stars,Wonderful.,the United States ,October 30 2018,Verified Purchase,"  Arrived on time, no damage, everything included as advertised. Way better than the Xbox One it replaced. No more constant updates and the updates it does need are so much faster. Not only that but I can simply not update the thing if I choose. Take that Microsoft! The console menus are so much easier to navigate and I don't have to go online to save game progress. So much better.",6 people found this helpful
Steven Cordero,5.0 out of 5 stars,Perfect Upgrade,the United States ,April 8 2019,Verified Purchase,"  Perfect upgrade for anyone looking to improve on their original PS4 without making the jump to the PS4 Pro.I bought the original PS4 for my son's 9th birthday and 5 years later it has gotten slower, louder and overheats quicker. The PS4 began freezing up recently and the eject mechanism stopped working. Rather than spending money on a repair, it became obvious that a new system was needed. The question was whether it should be the PS4 Slim or PS4 Pro.  I chose the Slim because it was an obvious upgrade over the original PS4, but far less than what I spent on the original system when it came out (I bought it not long after the launch). It's quieter, faster and doesn't overheat.  Plus, it was far cheaper than the PS4 Pro.  I also bought a new 2TB HD, which I installed, and the total price (PS4 Slim and 2TB HD) was less than what the PS4 Pro is currently going for.  Of course, the PS4 Pro has its advantages, but if you're a longtime PS4 user looking for an upgrade over your old system at the right price, you can't go wrong with the PS4 Slim.",3 people found this helpful
G,1.0 out of 5 stars,do not attempt to use anything but a high-speed cable modem for downloading and that takes forever,the United States ,July 24 2019,Verified Purchase,  Difficult to set up it takes forever to download anything if you don't absolutely have a high-speed internet connection you can forget playing your game system and spend the weekend or the next decade downloading stuff and now they come with games but they all come with downloadable games they don't actually give you a hard copy so you can play right away which is what kids want to do with their PlayStations not stare to download screen,6 people found this helpful
Evelyn,1.0 out of 5 stars,Do not buy from this seller,the United States ,December 10 2018,Verified Purchase,"  Bought it, tried it and after 5 minutes, gets too hot and shuts down. Impossible to play.",13 people found this helpful
Alex,3.0 out of 5 stars,"I received everything in good order, but. . .",the United States ,April 13 2019,Verified Purchase,"  I had gone around to different local stores looking for a Playstation 4 slim, but all the stores had were Pro's.  I went on Amazon, and found the first site selling PS4 units and the line ""Amazon's choice for PS4's""  So I thought that was a good sign so I went ahead and placed my order.  Long story short, the package came in a few days, and there was no damage and everything seemed to be accounted for.  The actual PS4 works well so far.  I have had it one month tomorrow the 14th.  A few days ago, and the main reason for 3 stars is, the controller stopped working out of the blue.  I went online and tried ever trouble shooting tip under the sun, but it seems as through it's a dud.  I went and bought a new controller and works fine, but all this lead me to wonder if I had gotten a used or refurbished model?  Everything looks and feels new, and it is probably just that the controller was defective from the factory.  I have read several reviews from people who said their PS4's have given up the ghost after a couple months.  Overall I am happy with the unit but the bum controller made me raise an eyebrow.  I am by no means whatsoever insinuating that this company did a bait and switch or mis-represented itself.  Flukes happen, so take this review for what it's worth.",3 people found this helpful
Maria Villanueva,1.0 out of 5 stars,Corrupted and doesn’t work.,the United States ,July 9 2019,Verified Purchase,"  It was running smoothly until I tried to play a game on it. It began to freeze and mess up the data. Now I’m stuck because the PS4 won’t start and the DualShock controller won’t connect even though it is fully charged and has the wire connected.Must be internal hard drive problems, I just received it and it has be sitting around because it freezes mid download so I cannot play a single game. Also once the game downloads it says that there is data corruption and I must delete it. After the 3rd time downloading this 90gb game I call quits. I am stumped.",5 people found this helpful
Kenneth Thompson,1.0 out of 5 stars,Find a better retailer,the United States ,June 20 2019,Verified Purchase,  Refuse to power on after a few months only reason I bought because other retailers were sold out and it was a birthday gift I contact sony immediately they couldn't even verify my purchase I'm sending it in now to sony I didnt even bother Amazon because I know they would be on some bs I hope I dont have to end up replacing it out my own pocket,6 people found this helpful
Ann,1.0 out of 5 stars,Junk,the United States ,June 5 2019,Verified Purchase,"  Doesnt read disks, makes a noise when attempting to read, missing the controller(came with a game in the system) Dissapointed, this was supposed to be a gift for my son and now I wont have it in time while i wait for my refund so i can go buy a new one. Wont buy pre-owned ever again. I figured they would check the system prior to sending it out.",6 people found this helpful
Alejo Luna,5.0 out of 5 stars,Fast shipping,the United States ,November 25 2017,Verified Purchase,  Fast shipping! Great product. I love it,12 people found this helpful
C.C.,5.0 out of 5 stars,Great system,the United States ,October 22 2018,Verified Purchase,"  There's a lot of great games for the PS4 so this is a good buy. As a console it's decent, sort of sleek looking, and comes with a controller, AC cable, and HDMI cable. The 1TB storage is generous and seems like too much to ever fill up. You can play DVDs and BluRays too, and it will play European games in the USA just fine though some games will not have DLC available due to the region mismatch so be careful.I think the PS4 user interface is pretty garbage and the media sharing doesn't work as well as it does on the Switch, but beyond that it's a solid system. If you've used the PS3 or PSP you'll feel right at home with the UI on the PS4.",3 people found this helpful
Steampunk-Scorpio,4.0 out of 5 stars,So far so great,the United States ,April 11 2019,Verified Purchase,"  I have set it up, and so far all is well. It was a bit dirty the console, and that's why I took away a star. Other than that, I'm satisfied and will keep updates on quality- I promise. It came as specified and was well packed, everything was wrapped in sealed plastic except the console itself, I don't know if they even still do that sort of thing so it is what it is. It had a great unused discount card with it. And strangely came with a disc of Uncharted right in the mouth of the console. Strange. It makes me wonder if I should better check the model because the description said nothing about that. I'm not complaining, it's just that the 500 comes with it, and the 1tb does not.",2 people found this helpful
Laquever,5.0 out of 5 stars,So far so good,the United States ,December 1 2018,Verified Purchase,  So far so good my son loves it and it’s working good shipping was pretty fast too,8 people found this helpful
13-5,5.0 out of 5 stars,Sony is still at the top!,the United States ,December 29 2018,Verified Purchase,"  I may may have bought this console late in its life, but not so late as to miss the opportunity to appreciate the fourth console in the lineup. This is actually on par with the PlayStation 2 (keep in mind, this is just one person's opinion). I say this because the PS2 still has a place in my heart since its debut in 2000.I've always preferred the PlayStation over Microsoft's Xbox, since it has an amazing first-party library compared to its competitor: Uncharted, Yakuza, Horizon: Zero Dawn. The controller is another reason that I choose this over Xbox; it just feels more precise. (I apologize to anyone reading this who is a dedicated Xbox gamer. I'm not insulting it; rather, I'm just pointing out my preferences in a video game. I've played every generation of the Xbox and I like it, but my choice is elsewhere)I can't wait to play the remake of Resident Evil 2. I played the original back in the day on the first Playstation, so gaming on its descendant console will be like a time-honored tradition.Long story short, I love this console and I'm glad I saved my money to purchase it!",One person found this helpful
Ismael Valverde,5.0 out of 5 stars,10/10 Papa!!!! <3,the United States ,October 27 2018,Verified Purchase,"  First I was afraid that my PS4 came broken or something, but it didn’t happen. Contrary, It came brand new and without any incovinients. The box include one controller and its charger cord, a headphone, HDMI cord and the plug cord for the ps4, and the PS4 of course. I higly recommend :v",5 people found this helpful
A. Boettcher,1.0 out of 5 stars,Broke right after warranty expired,the United States ,June 12 2020,Verified Purchase,"  I bought this as a birthday gift for my husband. He loved it and had a lot of fun with it... right up until it stopped working 2 months after the warranty expired. Convenient, huh? We’ve talked to Sony and none of their troubleshooting options worked, so now we have to decide if we’re going to pay $100 plus shipping to have it fixed. Super frustrated with the PlayStation’s lack of durability. When you spend $300 on something, you expect it to last.",2 people found this helpful
CW,1.0 out of 5 stars,Very disappointed,the United States ,August 27 2019,Verified Purchase,"  I’m very disappointed in this. I’ve been a loyal PlayStation customer since the original (yes I’m older) and this one started having problems 5 months in. How convenient. I feel like I’ve been screwed here, as the window to return has passed and if I want to continue investing, I need to buy a new machine. Unless I just happen to be the unluckiest gamer multiple times in a row, somethings wrong here. Id suggest buying from Sony directly, and TBH I’m not even sure this makes a difference",2 people found this helpful
Michael,5.0 out of 5 stars,Great Console!,the United States ,June 26 2019,Verified Purchase,"  And with a terabyte of storage, you hardly need disks!A word of caution; if you download games instead of buying the hard disk versions, the software will not let you play those games unless you have some sort of internet connection to verify the usage license. I got this for my truck as I was an over the road truck driver and I found this out the first night I parked up to rest. Luckily, I could use my mobile hotspot feature on my cell phone. You probably won't be playing online with friends, but you can play your downloaded games without a hitch.I highly recommend this system.",One person found this helpful
J&J Z,5.0 out of 5 stars,A real solid system!!!,the United States ,February 28 2019,Verified Purchase,"  Never played with a PS4 before, last system purchased - XBOX360SO - with all the cards on the table - REVIEWComes ready to go, as is. 1 Controller standard with a chargin cable, a cheapy looking 1 ear mic/headset combo that actually works surprisingly well. If you already have a PS4 game, you are ready to play as long as it is not an online game. You have to create a PSN account and at least register a card to the account/system in order to do ANYTHING online. So if your getting this gift for a lucky kid, just know that they will be ON YOU for that info PDQ ... heads up.Outside of that, the hardware is fast. The system boots in under a min and balances the memory load as you play (you wont have the iPad problem of 100 apps open at once and the device performing like junk) It only allows 1 app and 1 game to be left running simultaneously - games look great and the online streaming ability is really cool",0 people found this helpful
Stephen G Jones,2.0 out of 5 stars,"Was great for 1 year, then blue light death",the United States ,April 14 2020,Verified Purchase,"  worked great for me for awhile. Played plenty of COD and other games here and there. But i hit the year and 2 month mark and i get this ""Blue light of death"" which does not allow me to turn on, or the instructions to put the device in ""Safe Mode"" to basically factory reset the device where i lose all data on the device. I have been an Xbox user for the past 10 years owning 2 Xbox 360s and 2 Xbox ones and not once did I have any issues with all 4 of those devices. I was willing to send the device into Playstation to get worked on and serviced, but during these times the workload is limited and they are not doing this work as of now (frustrating but i understand the circumstance and agree with playstation on this one) I just wish i could have had 2 years out of a $300 device from such a quality company..... Im just unimpressed with how this all happened",0 people found this helpful
Drew Shields,2.0 out of 5 stars,Overall the PS4 is great if you get one that works.,the United States ,October 15 2019,Verified Purchase,"  My son has had a PS4 for years and it worked great. Unfortunately, our house was struck by lightning which forced me to buy him a new PS4. I ordered a replacement on Amazon. The PS4 i received would not read disc. I requested a replacement for it and sent it back. The second PS4 showed up (bought from the same buyer because it was a ""Amazons Choice"") and the box was labeled with a damage sticker on the box. I plugged up the second PS4 for my son and it powered on but no signal to the tv. I tried hooking it up to 4 seperate TVs in my house with no luck. I have now requested a refund instead of replacement PS4 and will purchase from someone else.",2 people found this helpful
Scrambles,3.0 out of 5 stars,I feel like I made a poor decision,the United States ,May 21 2020,Verified Purchase,"  I don't like the price for a Playstation Plus account, it kind of makes interacting with other players in the world more of an obligation than a leisure thing. Then I lost a lot of over all interest in the product when I found out that I can't play the game I bought without the internet being connected witch means our game play is being monitored by people with a low IQ. I guess the silver lining is that I get to play certain game titles that I would otherwise have to buy an expensive gaming computer for. I most likely will not buy a PS5 when that comes out",One person found this helpful
Lars,2.0 out of 5 stars, really bad wifi,the United States ,December 27 2019,Verified Purchase,"  Im sure i got mine used because it didnt come with a cable to plug into the outlet nor did it have a charger for the controller. It disconnects from the internet constantly and is super frustrating when im playing with friends, seeing how we have to restart a bunch of games because my ps4 just decided to kick me from the server. I've tried connecting to different wifi, deleting some apps, checking my ping, asking on yahoo answer, but it honestly just seems like whoever had it before me, if it was used, messed up the actual hardware for the internet connection (which ive done before too). My only resolution is to keep going into the wifi settings every 10 minutes and ""check internet connection,"" to which it'll say no errors and restore the connection.",0 people found this helpful
