name,score,title,place,date,verified purch,text,upvotes,language
Lonely Neuron,3,"Working well now, but...",the United States ,20181008,True,"  The console/controller and a 2nd controller ordered separately arrived promptly, but had two problems (one real and one perceived). The perceived problem was that the power cord could not be securely plugged into the back of the console. After a 30-minute drive to the local Microsoft store, it was demonstrated that if one pushed very (and I mean *very*) hard the plug would insert securely. The other problem was that the controller that came with the console would randomly fail to operate - becoming inoperative after anywhere from a minute to an hour (the separately ordered 2nd controller operated flawlessly). The Microsoft store gladly swapped my defective controller for a new one (though I had to accept a black one rather than white). The new controller is working perfectly.",6,english
L. Christenson,1,"If Buying for Christmas, Know that You only have a 30 Day Return Window.",the United States ,20181107,True,"  I am trying to complete my Christmas shopping early but learned upon receiving the item that I only have a 30 day return window.  So if the item does not work on Christmas day, I won't be able to return it which will disappoint me and my kids.  I believe this return window should be clearly stated up front.",10,english
Gordon,5,Xbox One for 200$,the United States ,20190621,True,"  Made sure i got the one with a bluray and not the one without a cdrom. Basically i use this as my Hulu/Prime video machine i'm not a console gamer but my fire stick starting to lag and lock up so i wanted more power. Looking at the Nvidia Shield which is close in price and does less so Xbox One is a no brainer for TV box over other options out there. Not going to knock a star off but just like Siri i am not a fan of Cortana either Google is just leagues above these two speach apps when it comes to understanding what you're saying to it. Alexa is pretty good too. PDP Talon Media Remote Control for Xbox One, TV, Blu-ray & Streaming Media. Get that remote",2,english
Amber W.,2,FALSE ADVERTISEMENT,the United States ,20190407,True,"  So, on the side of the xbox box, there is a list of what all comes with the system. Mine said that there was a free month of xbox game pass but there wasnt any papers other than a manual and the warranty information. When the xbox was all set-up, I got a notification where I could sign up for a month for $1, but that isn't FREE. Normally amazon is pretty spot on with the descriptions of their products, but I will never buy a system like this on amazon again. Also, where is all the paperwork you get with a new system? And the year this system was brought out wasn't 2017 like it says, its actually 2016.",4,english
Micah Kiter,1,"Used product, warranty out of date, not what was advertised",the United States ,20190530,True,"  This is NOT a new product.  Box was re-taped with circular tape but not lined up with previous seal.  Different colored controller received.. warranty expired with Microsoft.  Save yourself the headache and whatifs, spend the extra 40 bucks and buy straight from Microsoft.  This seller is a sheister.",6,english
EVIII,4,Good merchant Terrible platform,the United States ,20190924,True,"  Had nothing but a good experience from the merchant who sold this.Xbox as a platform is terrible though. Xbox has long been the multiplayer focused platform yet because of design flaws in the system and its always on (but we pretend like its not) requirement when instances of big games being released (like the recent Gears 5) or general server outages it renders the console useless if you cannot ""call home"" to verify your fealty to Microsoft. You have to have already put your machine into offline mode in order to have avoided this which is mostly impossible to predict when it will happen and is simply not possible after the fact of a server outage. Whats worse is you virtually MUST keep it online.Further the system is built around digital distribution from the ground up.  Focus on multiplayer games to sell Xbox live, Games with gold and their psuedo netflix style Game Pass service offer the promise of delivering you games. Yet you own nothing. You only get privilege to access these things so long as you have paid your tithe to Microsoft. Stop paying your subscription fees and those ""free"" games you were given with gold are locked out and inaccessible to you until you DO pay. That keeps you paying, and agreeing to waive more and more of your legal rights each time they feel compelled to take more from you, which 95% of gamers have no clue what they are taking because they just blindly scroll through the terms and conditions just to get to the agree box.Then their gamepass service IS COMPLETELY online required. Despite having a game installed and a valid subscription to it, AND the capacity to run clocks underneath the software that will know when to cut off your access once your subscription cuts off despite not having a connection, you cannot access ANY game pass games offline in any capacity.Everybody talks about it does not have games. That obviously is not true. It has most the same games you would get on PS4 and to a lesser extent Switch. The games where it lacks is exclusives, but technically that is not true. It does have some exclusives, but like with everything else with the console they are hidden and locked away behind digital distribution. When you count how many physical exclusives they have you can just about count them on two hands.The Xbox embodies all the worst traits of gaming this generation. Pointless style over substance (as seen between standard and X model of console that has next to no justification to exist because no games fully utilize its added horsepower)  Demanding you swear fealty and give your rights away in perpetuity, trading money for nothing but revocable licenses, forced online need, focus on multiplayer digital sport type experiences instead of on video games, everything about the platform is bad. Its taking the worst practices in the industry and distilling them to an anti consumer driven digital sports focused machine that is more than happy to take your money but expects you to keep handing it over after any transaction has been completed.While the PS4 (PRO ONLY) and Switch have some similar elements, Microsofts anti consumer products are the only field where they are actually innovating. So do not make the mistake I made and hurt the industry by buying this garbage.I give the merchant 5/5 and Microsoft NEGATIVE 5 out of 5 because it should not even exist in this state, to the point that one day in the future it will require legislation to fix the things they are trying to do with this and future incarnations of the Xbox platform.",1,english
ramon2585,5,I was skeptical but...,the United States ,20190116,True,"  I didn't want to buy it because it said Discontinued, but that wasn't a problem at all. I've been using it daily since December 12 when it was delivered and I haven't had any problems. It came in the original box it's sold in. I included the picture. I was just on it a half hour ago playing Overwatch.",5,english
HCJr,5,I have nothing bad to say,the United States ,20180710,True,  It's an Xbox. I have nothing bad to say.,7,english
LesGamer148,5,I always wanted to have this...,the United States ,20190620,True,"  Because I always wanted to have X1 and PS4 when it was first announced in 2013. Unfortunately, it was $500 before and... I’m glad that I didn’t waste thousand dollars from getting it in the first place. Since it took years and now on my 27th birthday (which it has already passed last week), it comes in mail unexpectedly right on time Anyways, so far from my X1 console review. Before and after unboxing... it looks clean and brand new from complete X1 game system itself but unfortunately, I only have one small problem with a battery included controller but... that’s not suppose to be a big deal at all cause I could always get complete battery kit set for the controller itself, no worries from that. Anyways, the game system itself really works and that’s all it matters to me  Looking forward to re-buy again from a same seller, 5/5 ",2,english
BrokeShopaholic,5,Son loves it!,the United States ,20190405,True,"  Made a deal with my son and told him he can have his own Xbox (we shared before) so of course he’s done everything I’ve asked of him to and this was cheap enough for a “discontinued” model. He loves it and he’s a pretty happy kid. Definitely recommend, no issues with ours and it was shipped the first of April and got it literally the next day without even paying for that kind of shipping so that was a pleasant surprise!",3,english
Zak,5,Pleasantly Surprised!,the United States ,20190709,True,"  For years my wife and I shared the original Xbox One, and with most of the new games being online co-op only we knew we needed to make a change. So here we are looking for a reasonably priced new Xbox, knowing that a new version will be coming out in 2020. Leave it to Amazon to have amazing deals on brand new (still boxed in original packaging) Xboxes!So glad we purchased the Xbox One S! It is significantly smaller than the original Xbox One, and doesn't even need a charging brick!! Talk about updates. Everything was in brand new original packaging and arrived quickly and in great condition. Got the Xbox set up and running the day it arrived, and have been using it everyday since. It's very quiet and has fast response times. My wife already had an Xbox sport controller, so we haven't used the controller that comes with it yet. But it looks great upon arrival and did come with batteries (extra plus, because we don't keep a lot of those lying around).TL;DR we were hesitant about purchasing from Amazon because of the bad reviews, but SO GLAD we did, because our experience was great. Plus, Amazon has a top notch return policy.",1,english
Edward,3,Not worth the price.,the United States ,20200730,True,  So for the price it’s not worth it. The Xbox X comes out in less than 6 months. This Xbox is looks good and definitely doesn’t lag like my previous Xbox One. I can’t notice any visual difference in game play. In fairness I don’t have a fancy TV but I don’t have a hi-def TV. The controller feels slightly lose. On my Overwatch game the left analog stick drifts right. I would return this item but I’m afraid the process would be too complicated. I’m ok with the mini stalls when turning this Xbox on. I’m hoping I don’t have any major issues before three years. So to recap I have owned three Xbox’s. I like them but this one has got stuck loading twice in three weeks. The controller drifts and feels like the assembly of it is slightly loose. Lastly I don’t think the value is worth it. The speed is better than the Xbox One but that’s the only difference and it’s only a little faster. The Xbox X is coming out soon and not much more. I suggest waiting till it comes out to upgrade.,0,english
Jacob,3,Best of the current gen consoles. Currently.,the United States ,20190718,True,  ****Edit 2-21-2020***I'm on the verge of leaving gaming entirely. As an adult with a full time job. I have sporadic instances to play videogames. The frustration is this: Everytime I boot up my system bam! Update! Then next time bam! Update! Update! The system the games! Maybe 1/5 times I boot up my system it's ready to play the game I intended to play! WHATS THE POINT OF NEXT GEN EXPERIENCES IF I NEVER GET TO PLAY IT!!! This is not the gaming I grew up loving. I've grown to rue current consoles. It's only getting worse!I own all the current gen consoles. After a lil use I can say honestly the Xbox One in its current state is the best overall. The best game selection. The best online marketplace. The best disc drive capabilities (4k). Personally the controller is nice. No silly frills...The UI is probably the weakest link. It functions fine but the blocky Windows phone design is unappealing.Things that would improve this Xbox. Multiple color options (white is boring). Included vertical standing option. Silly to have to buy something extra for a simple purpose. Better UI design. A sleep mode like PS has.,0,english
Davey,5,Can play partial 4k games and most 4k movies,the United States ,20180410,True,  Works well and plays alot of games and 4k movies,6,english
Luis Lima,5,Five Stars,the United States ,20180528,True,"  Everythin fine, as expected!!! great seller, recomended 10/10",11,english
Brad Portzer,4,"Open box, not new, but appears unused",the United States ,20190922,True,"  So this specifically pertains to the Xbox One S(New) purchased from Worldwide Distributors. The product arrived in good condition and if it wasn't for reading other reviews I probably wouldn't have noticed anything was off.  The Xbox itself and included accessories appear unused and in factory condition. The issues are that the seals were doubled over, the included trial codes were missing, and the warranty only has 7 months left on a year warranty. What I assume occurs is they purchase the product themselves which activates the warranty, they remove the trial codes to sell them elsewhere and reseal the product so the average consumer would never notice the difference. This to me isn't a dealbreaker, I still got a seemingly unused xbox for a decent price, but I know for others this is a big issue. Now, if the product ends up defective or fails in the next few months because its actually used, thats another issue, and I will return to update this review.",1,english
David ,5,game on easy,the United States ,20180622,True,"  great price, great shipping, my son loves it, easy to install, comes with everything you need, buy it",8,english
Tracy,5,Best purchase,the United States ,20190805,True,"  I've now had this product for a year, and I'm so happy I purchased it. The value is great, and the storage space for the price is what pushed me to finally buy it. I've never had any problems with it, and I love it to death.Buying an Xbox introduced me to incredibly beautiful and fun games I'd never heard of, like Warframe, and gaming online brought me closer to people and I've really enjoyed my time with it.I'll always be grateful for this purchase because it let me meet my best friend and love of my life. 10/10",1,english
Amazon Customer,1,Used device,the United States ,20200216,True,"  Well I did purchase a new console to surprise my children during the winter vacation but we were very disappointed to get a used device .. unfortunately I got a used XBOX!! The box was not sealed , in fact there were 3 layers of old tape ..box is in bad condition, and there is missing things , yes you hear it ! Game pass was  taken out of the box and I think there was another part missing which is the vertical stand ..very disappointed with my purchase waiting for the Weekend to pass to call for return or replacement...I’ll make an update to my review  if anything changes after I call them..as now I don’t recommend buying from them. It was my fault I ignored all the previous reviews from unsatisfied costumers.",1,english
Amazon Customer,2,Controller broke stopped working properly after two days,the United States ,20180915,True,"  Console worked perfectly fine, but the controller would not sync up with the console at all well right out of the box. It would sysc/ un Sync during play. We have another Xbox one with controller that synced perfectly fine to this new console. So it was the new controller that was no good. We used a USB adaptor to connect the ""wireless controller"" and that worked for a few days, but now it stopped syncing all together. It looked brand new but it must have been defective. Buy at your own risk!",3,english
JimBob728,1,Worst purchase I have ever made at Amazon,the United States ,20200316,True,"  These X Boxes are flimsy and cheaply made.  Drop the controller, (even on a carpeted floor) and it’s done.  I purchased this for my grandson’s birthday.  Setting up was easy, but fun ended there.  My grandson and I spent over 4 hours trying to get games to play. WHY do things have to be so incredibly complicated?  Why can you not insert a game disc and play......period?  My grandson, who is a whiz at learning and playing electronic stuff, just gave up and almost in tears lost interest.  I returned this system today for a refund.  Microsoft......stick to computers and get out of the gaming business.  Buying this was a BIG mistake, hope you don’t make the same one.",0,english
Nick,3,It works fine but was NOT new,the United States ,20191007,True,"  Replacing a Day One Edition Xbox 1 that crapped out with this.  The listing states the item was new, but it was not new.  The box had been resealed as evident by cut stickers and residue on the packaging.  Also, when I signed in to register the unit, the warranty had  already started about 4-5 months prior.  It works fine, but the listing was wrong and Amazon should review the seller.",2,english
Alan,1,Thought this would be an upgrade to my 360.  It is not.,the United States ,20200504,True,  This console was an absolute let-down.  It is slow and this concept of diskless gaming is awful.  If you want to new game it must be downloaded and given that any game for this system is 40-100gb it takes forever.  If you have slower internet expect a game to take several days or weeks to download.  Graphics are not noticeably better than those of the 360 and everything else is worse.  After just two months the controller fails to connect to the console.  I am never buying an Xbox again.  Stick to your 360 if you're thinking of buying this.,0,english
Lukas Mullins,3,Very disappointed,the United States ,20190507,True,"  Ok so to get it straight the Xbox itself is great, I haven't had any issues with it what so over. BUT the headset Jack in the controller stopped working after less then 2 months of use. Know that I am not rough with ANY of my electronics. I wanted to get it refunded but the return window had closed by then so now I am going to have to go spend another $50 on a controller. not happy about this and very disappointed in Microsoft.",2,english
Cipero,5,"Quick delivery, perfect condition",the United States ,20190617,True,  First and foremost I have my fair share of complaints with Microsoft however I own both ps4 pro and this will be my third Xbox haha but the thing that keeps me wanting to have an Xbox is unfortunately when you’ve played as long as I have that’s just where the friends I’ve made along the way are. You should know by now which games you want to play and where the people you’ll play with will be. This version of the Xbox is what you want if you are not going the full measure to get the one x.That being said the five stars are for my experience with the seller. I purchased the product and it was at my door the next day. Perfect condition. No complaints whatsoever.,0,english
Kevin,2,Disappointed but it works,the United States ,20210118,True,"  I knew this was used when I bought it so I was not expecting a flawless Xbox. I was, however expecting it to be clean, free of dust and finger prints. Which it was not. I was also expecting a controller that was in decent shape. But the controller I got has 4 buttons that stick, making it almost impossible to play any type of racing game, as the throttle always gets stuck.  It looked as if whoever sold this pulled it right out of their living room, wrapped it in bubble wrap then put it in a box and shipped it. It was not clean, There were 6 user profiles still on it. Almost half the space was full with games I could not play. Which I had to uninstall myself. I was not expecting that. I even had to blow the dust out of the console.  I will say, on the plus side it arrived a day earlier than it was scheduled to. Also a plus is that I have had no issues with the console itself.(Other than dirty and half full) It seems to work fine. I would have given this a much higher rating had the seller taken the time to clean it and included a controller that didn't stick.",0,english
P. Cahill,3,NOT BRAND NEW!!!,the United States ,20190403,True,  the box had all three security tabs broken on the bottom side. all top ones were intact. Registered serial number with Microsoft and the 1 year warranty is set to expire in two months.,2,english
Ryan Tanis,5,Great graphics not a great 4K blu ray player,the United States ,20200329,True,"  Wanted great graphics without buying a thousand dollar gaming pc. This thing has great graphics, obviously better than my wii console, and I can use the controllers on my old steam pc games. Compared to my Blu-ray player The Xbox plays 4K Blu-ray’s, Blu-ray’s and DVD’s super dark. I don’t know if I had bought a dedicated 4K Blu-ray player it would be different but just my experience with the 4K player off the xbox",0,english
lyss,5,my boredom is cured,the United States ,20180710,True,"  GREAT console, playstation can kiss my ass ",10,english
StickyProjectile,5,"Works as intended, Not dissapointed nor over elated.",the United States ,20180317,True,  Great product! Works best with AC Wifi connection or direct LAN connection.,5,english
Andre,5,Perfect,the United States ,20190227,True,"  Awhile back I had to get rid of my previous Xbox One S and I saved up to get another and purchased it from this place. It came with the controller, the console, power cable, and an HDMI cable as well as a 14 day free Xbox Live Gold trial and 1 Month of Game Pass. I was worried that this would just be the console but it was much more than that and I am very satisfied to have an Xbox One S again.",1,english
Julie,5,Exactly as described-very good!,the United States ,20201225,True,  Christmas morning - seems to be working well so far. My son had to update the controller and is currently downloading games.It arrived on time and in good condition. I’m relieved that everything seems to be in order. Grateful for the seller having exactly what I needed to make a second “fair” Xbox set up for my twins who want to play with friends and each other at the same time. I wanted a refurbished product - not one newer than the other. Perfect.,0,english
Matthew S.,1,Not New!,the United States ,20191224,True,  I ordered this as a Christmas gift on December 16th with Prime 2 day shipping and it wasn't until the 23rd when it finally shipped. It showed up Christmas Eve and when I opened the box I saw the original seals from the factory had been cut and covered with new ones. Do not buy one of these consoles that are about this price point as they all seem to be used. This should be illegal to send a used console when I pay for a new one. Now I can't even send it back and get a new one before Christmas!,0,english
Amazon Customer,5,Great Buy!,the United States ,20200120,True,"  Your browser does not support HTML5 video.   Xbox is great! I have been playing it for about 4 days now. I know that doesn't seem like a long time, but it has been working very smoothly. Everything is new - it comes with batteries, remote, console and power cord, and HDMI cord.I was a little skeptical about the item upon arrival because when I opened the Amazon box I saw that the Xbox box was retaped but everything inside the box looked new and was wrapped with original wrapping.I recommend the console. The price is affordable and the system is real and quality. The same Xbox you'll buy new from Best Buy or GameStop except they have it for a higher price. Buy it, you'll enjoy it!Any problems you can always contact the seller or Microsoft.*Headphones did not come with the order - that is a separate order.",0,english
N. Lee,5,Best all-in-one console,the United States ,20190718,True,"  In addition to having the best selection of games on the market, the Xbox seems to be the best entertainment system out there. It is my go-to for playing games, listening to music, browsing YouTube or using a variety of video streaming services. The price is also so reasonable that I picked up a second one to have its features available in multiple rooms.",1,english
Bob W Rosseter,5,More bang for your buck if looking for a 4k blue ray player,the United States ,20200608,True,  Was looking to purchase a 4k blue ray player. Xbox one s gives me both a 4k player for movies and a long overdue upgrade from my xbox 360. Looks great black and white. I use my Samsung tv remote to control player for movie menus. Satisfied with purchase. Local Walmart had one for far less a few weeks after my online  purchase but sells fast. Be careful of price gauging. My purchase price was reasonable.,1,english
cortney,1,Wrong region doesn’t play USA DVDs,the United States ,20181226,True,  Bought this for my so for Christmas and it only plays region 2 dvds (Europe) and doesn’t recognize region 1 (us and Canada) disks. What a waste of money!!!!!,3,english
Kahos923,5,Easy setup,the United States ,20200618,True,"  Setup was super easy, I don’t have any issues with the console so far. My controller gets disconnected pretty easily but I don’t know if that’s a regular xBox thing or not. Storage is pretty good, I haven’t had any issues with that. The machine works quickly and works well with Alexa on my Dot. I think it was worth the money I paid for it. It came brand new.",0,english
Daniel,1,Total Junk,the United States ,20201104,True,  Got it from Ravenholm electronics and they screwed me. Didn't even send me what they had a picture of and not even close to the description. Ravenholm Electronics is a fly by night  jip joint place that is only out to screw the customer. Do not use them ever.  Don't say you haven't been warned. Buy from someone that has integrity because Ravenholm Electronics has none.,1,english
dustin medina,1,"Open box, game pass missing",the United States ,20191008,True,  Seller opened the box and stole the game pass that is supposed to come with the console. Overall the hardware looks ok and unused but the box was cut open and the game pass is missing. Sounds like I'm not the only one that had this issue either. Really dishonest move on the seller's part.,2,english
Michael Tassey,1,Doesn't last!,the United States ,20190714,True,  I bought mine and after 3 months it started having issues running and I had to reset it. Less than 6 months and I'm having to send it in for warranty work. Edit 10/06/19. I got it back from warranty work and I've had to reset it to factory numerous times. I feel like it's only a matter of time before it needs to be sent back again. Definitely the last time I purchase an XBox system.,1,english
Raphael Cadiz,1,SCAM. READ REVIEWS!!,the United States ,20191005,True,"  Listen very closely, every good review is either someone from the company or a buyer who hasn’t had the system for longer than a week. This is a scam. The systems are used and damaged. Many only repaired long enough to function for a week. Read all the 1 star reviews. The disc reader won’t work, the remote will be broken, it will glitch. Mine started to defect 24 HOURS! after unboxing. READ THE 1 STAR REVIEWS THEY ARE THE TRUTH.",1,english
Michael McC,4,I resent having to add a headline.,the United States ,20190711,True,"  I resent having to set up my ""account"" (email, password, phone, ad nauseum) before I could even play agame from a disk. I don't recall seeing anything about this in any advertising and feel that this really amounts to changing the agreement of sale after the fact. (Criticism directed at Microsoft) The product was delivered quickly at a good price.",1,english
Captainkillbot,1,Very slow to react and download is taking forever with good speed,the United States ,20200219,True,"  Your browser does not support HTML5 video.   It's very slow, my intent is to replace my original xboxone as it's very old but this new one has been downloading a single game all day long. I know the game is big but my old xbox only took 4 hours and this guy has been at it almost 18 hours now. I'm not sure if I want to return it or give it another shot, even the menus load considerably slower I did read a few bad reviews but there were enough good ones to convince me it would be a good buy.",0,english
neal p cozzens,5,Broken controller replaced,the United States ,20201227,True,  Exelent customer service! Received with broken controller so threw it out and bought a new one at local retail store. Left a review complaining .They sent me a new controller even though I threw the defective one out. They stand behind there products and I do recommend buying from them.,0,english
Leonard Olson,1,"Controller microphone not working properly. Bought another controller, same issue after two weeks..",the United States ,20190510,True,"  The delivery went perfect. No issues there.This review is on the the XBox. It is not working properly. I have two controllers (I purchased the 2nd separately) and two headsets. There is no sound on the headsets when hooked up to the controllers. They worked for a period of time then suddenly stopped. At different times. This is only on XBox.The headsets still work perfectly on PS4. I purchased this due to friends playing online on XBox. Sending them PS4's, determined it would be cheaper than to keep buying controllers.",1,english
Christian Hair,5,I couldn’t be happier,the United States ,20191015,True,"  I was worried about buying a used, not to mention discontinued, Xbox One S online, but the price was unbeatable. So I went ahead and bought it. It got here earlier than they said it would, which is great. The cardboard shipping box it came in was pretty beaten up, as was the actual Xbox Box, but the Xbox itself was pristine. I can’t believe it was used. It came with the controller, batteries (To my pleasant surprise), power cord, and HDMI cable. I set everything up to make sure it worked okay and everything was perfect. So happy with this purchase. I’ll update this review if I notice any flaws later down the road, but as for right now, I’m so so happy.",0,english
Max Gesford,4,Late/No arrival,the United States ,20191204,True,"  I've always loved the xbox franchise and with that being said the xbox one is no exception. However, I'd purchased a system for myself after wanting one for years and I caved and bought one on November 24th. It had not moved from its location in a California distribution center and had not gone any further till November 30th when it finally hit Pittsburgh PA. Now, it was scheduled to arrive on November 30 and I do understand that it was a holiday weekend and the weather conditions were terrible and as so I've been patiently waiting. But it has been over a week and it has barely progressed. And for a regular Amazon user, it is kind of disappointing. Still awaiting arrival",0,english
Amazon Customer,1,BUYERS BEWARE!!!,the United States ,20200206,True,"  looked sharp and brand new right out of box but once it loaded up the clutching started.  Could not access any options or sign in screens, screen would flash for a second then go away.  Couldn't access settings to even try a factory reset very disappointing.  Packed right up and signed up for replacement but after seeing some of these other reviews I might just do refund.  I'll talk to Amazon and go from there.",1,english
Mandy RPSGT,5,Five Stars,the United States ,20171110,True,  Excellent!!!!!,5,english
Tami K Goodrich,5,Great return time.,the United States ,20181219,True,"  At this point I am very disappointed. The controller that came with the Xbox one s is not working. I have contacted the seller and am hoping for a remedie.  If I recieve a working controller I will be much happier.Edited: I was emailed a prepaid return label for the broken controller. I returned it, and received a new one very fast!",0,english
ride,1,"A damaged, returned item",the United States ,20190707,True,"  On delivery, seals were broken, controller was scratched up, and warranty was 8/12 months gone. Not a new item. Not even “like-new”. Back it goes.",1,english
Dorothy Sanders,1,"It's alright, Stick To Sony.",the United States ,20190717,True,"  I love my XBox but when I received it the controller would connect and cut on the xbox. Then it'd stop connecting. With every 15 seconds, give or take, it'd stop connecting. I called amazon, they called Microsoft, Microsoft told me it was the controller, so send back the xbox for a new one. Why not just send a controller. That'd be amazing.",1,english
Meg,1,FALSE ADVERTISING! SCAM ALERT!,the United States ,20200124,True,"  BUYER BEWARE this Xbox is advertised as a 1tb console but when it was delivered and I looked into the storage myself I saw that it is actually only a 500gb console. Now it's too late for me to return the product, so I got ripped off. Shame on this seller. I wish I would have read other reviews before I wasted my hard-earned money!",0,english
Joseph G.,1,NOT new!,the United States ,20190427,True,"  The reviews were pretty mixed, but there were multiple people who asked in the FAQs if this was a brand new unit. It was confirmed more than once that it was. It wasn’t. I have pictures. The controller loses connection every time. I’ve looked up all the fixes, but nothing helps. I’ll be returning the unit. As usual, can’t leave zero stars, so it gets one.",2,english
Kati,2,Be careful before you buy,the United States ,20190711,True,"  My unit makes a super load noise all the time if the console is on. Even if I'm just watch in my something, it's incredibly annoying and I can't find out how to fix it. I am probably going to return it and get a new one. Other than that though, the xbox is great... but I find myself using it less than I want to because the sound is so dang annoying.",1,english
Amazon Customer,1,Don’t do it,the United States ,20200301,True,  It was horrible. If i could rate this 0 stars i would. The description said it comes with a controller. We didn’t get one. Then we get a receipt inside saying the Xbox was 80 when we paid almost 200. Amazon did NOTHING to help but say “you have to take to the retailer. So we did we reached out and the man claims everything otherwise even though it didn’t meet the description. 1 week later into gameplay the Xbox glitches all the time. It struggles playing games and it’s extremely inconvenient and a waste of money. Shame on the retailer for overcharging for garbage.,0,english
Ariel,4,Satisfied,the United States ,20200125,True,  Am glad to have gotten this before they were discontinued for good. I prefer a disc insert to the one without. Gives me an option to buy the actualGame used rather than having to buy it new at full price and download it on my console. Have always loved Xbox though so of course I’m happy with it!,0,english
Chris Locke,5,Value,the United States ,20181111,True,  Kids love it in fact they are playing Minecraft on it almost a year later. We use it as a DVD /Blu-ray player and it gets plenty of use. The box was a bit damaged when we got it but it seems to be unharmed.,1,english
Rips,5,Nothing negative about it!,the United States ,20180705,True,"  To be honest, I have no idea why these are discontinued. This might be the most worth-it purchase I've ever made!",4,english
Anonymous.,1,DONT BUY THIS,the United States ,20191001,True,"  While I was trying to set my xbox up, an error code kept appearing, I troubleshooted it like 6 times, restored it to factory defaults, nothing happened. I decided to go to the xbox troubleshooting website and follow the directions to fix this problem just to get to the very last step that said I'd have to repair it. I was very disappointed in this purchase, for sure sending it back.",1,english
Dirk  Walker,5,No issue with my purchase at all...great price!!!,the United States ,20191106,True,"  New in the box console with controller/cables/instructions. Have had it since August and have been playing GTA 5, Red Dead Redemption 1 and 2. Works perfectly and has plenty of storage! Great price, quality product.",0,english
Sharon,5,Xbox is still the best.,the United States ,20191214,True,  So far it works great. If my internet wasn't so bad it would be much better. But can't blame Xbox for that part. Haven't tried any new games yet just the one. Love you can turn the unit off with remote control to.,0,english
